Cache(M),Cores,Threads,Speed(GHz),DorM,Price,Name
24.75,18,36,3,1,1979.00,i9-9980XE
24.75,18,36,2.6,1,1979.00,i9-7980XE
22.00,16,32,3.1,1,1684.00,i9-9960X
22.00,16,32,2.8,1,1684.00,i9-7960X
19.25,14,28,3.3,1,1387.00,i9-9940X
19.25,14,28,3.1,1,1387.00,i9-7940X
19.25,12,24,3.5,1,1189.00,i9-9920X
16.50,12,24,2.9,1,1189.00,i9-7920X
19.25,10,20,3.5,1,989.00,i9-9900X
13.75,10,20,3.3,1,989.00,i9-7900X
16.50,10,20,3.3,1,889.00,i9-9820X
11.00,8,16,3.6,1,589.00,i7-7820X
16.50,8,16,3.8,1,589.00,i7-9800X
8.25,6,12,3.5,1,383.00,i7-7800X
8.00,4,8,4.3,1,339.00,i7-7740X
6.00,4,4,4,1,242.00,i5-7640X
16.00,8,16,3.6,1,488.00,i9-9900K
25.00,10,20,3,1,1723.00,i7-6950X
20.00,8,16,3,1,999.00,i7-5960X
20.00,8,16,3.2,1,1089.00,i7-6900K
15.00,6,12,3.6,1,617.00,i7-6850K
15.00,6,12,3.5,1,583.00,i7-5930K
15.00,6,12,3.4,1,434.00,i7-6800K
15.00,6,12,3.3,1,389.00,i7-5820K
12.00,8,8,3.6,1,374.00,i7-9700K
12.00,6,12,3.7,1,359.00,i7-8700K
8.00,4,8,4.2,1,339.00,i7-7700K
8.00,4,8,4,1,339.00,i7-6700K
12.00,6,12,3.2,1,303.00,i7-8700
8.00,4,8,3.6,1,303.00,i7-7700
8.00,4,8,3.4,1,303.00,i7-6700
9.00,6,6,3.7,1,262.00,i5-9600K
9.00,6,6,3.6,1,257.00,i5-8600K
6.00,4,4,3.8,1,242.00,i5-7600K
6.00,4,4,3.5,1,242.00,i5-6600K
9.00,6,6,3.1,1,213.00,i5-8600
6.00,4,4,3.5,1,213.00,i5-7600
6.00,4,4,3.3,1,213.00,i5-6600
9.00,6,6,3,1,192.00,i5-8500
6.00,4,4,3.4,1,192.00,i5-7500
6.00,4,4,3.2,1,192.00,i5-6500
9.00,6,6,2.8,1,182.00,i5-8400
6.00,4,4,3,1,182.00,i5-7400
6.00,4,4,2.7,1,182.00,i5-6400
6.00,4,4,2.8,1,182.00,i5-6402P
8.00,4,4,4,1,168.00,i3-8350K
4.00,2,4,4.2,1,168.00,i3-7350K
4.00,2,4,4.1,1,149.00,i3-7320
4.00,2,4,3.9,1,149.00,i3-6320
8.00,4,4,3.7,1,138.00,i3-8300 
